day,month,year,hour,minute,temp
21,2,2018,5,20,16.7566666667
21,2,2018,5,21,17.11
21,2,2018,5,22,17.2444736842
21,2,2018,5,23,17.2715
21,2,2018,5,24,17.38825
21,2,2018,5,25,17.521
21,2,2018,5,26,17.64825
21,2,2018,5,27,17.8125641026
21,2,2018,5,28,17.902
21,2,2018,5,29,18.021
21,2,2018,5,30,18.13825
21,2,2018,5,31,18.2254285714
21,2,2018,5,32,18.3935897436
21,2,2018,5,33,18.46175
21,2,2018,5,34,18.56425
21,2,2018,5,35,18.662
21,2,2018,5,36,18.75825
21,2,2018,5,37,18.8851282051
21,2,2018,5,38,19.0031578947
21,2,2018,5,39,19.0436170213
21,2,2018,5,40,19.1465116279
21,2,2018,5,41,19.2628571429
21,2,2018,5,42,19.3225581395
21,2,2018,5,43,19.3902272727
21,2,2018,5,44,19.5261904762
21,2,2018,5,45,19.6114285714
21,2,2018,5,46,19.6686046512
21,2,2018,5,47,19.7502325581
21,2,2018,5,48,19.8395348837
21,2,2018,5,49,19.9430952381
21,2,2018,5,50,20.0292857143
21,2,2018,5,51,20.081627907
21,2,2018,5,52,20.1625581395
21,2,2018,5,53,20.2388372093
21,2,2018,5,54,20.3146511628
21,2,2018,5,55,20.3862790698
21,2,2018,5,56,20.4669767442
21,2,2018,5,57,20.543255814
21,2,2018,5,58,20.6190697674
21,2,2018,5,59,20.6948837209
21,2,2018,6,0,20.7653488372
21,2,2018,6,1,20.8418604651
21,2,2018,6,2,20.9197674419
21,2,2018,6,3,20.9879069767
21,2,2018,6,4,21.0641860465
21,2,2018,6,5,21.1272727273
21,2,2018,6,6,21.2025581395
21,2,2018,6,7,21.2730232558
21,2,2018,6,8,21.3573809524
21,2,2018,6,9,21.419047619
21,2,2018,6,10,21.4445454545
21,2,2018,6,11,21.4960465116
21,2,2018,6,12,21.5288636364
21,2,2018,6,13,21.5654761905
21,2,2018,6,14,21.5895454545
21,2,2018,6,15,21.6341860465
21,2,2018,6,16,21.6693023256
21,2,2018,6,17,21.7107142857
